property_id,name,city,state,state_code,dist_code,sub_dist_code,village_code,type,lat,lon,base_elevation,total_height,owner,status,valuation_cr,zone,archetype,facade_theme,roof_feature,subsurface_infra
101,Seawoods Grand Central TOD,Navi Mumbai,Maharashtra,27,21,101,50,Commercial,19.0216,73.0181,0.0,120.0,L&T Realty & Seawoods Corp,Verified 3D Cadastre,850.0,Navi Mumbai (MMR / CIDCO Seawoods TOD),transit_quad_podium,azure_glass,helipad_skywalk,metro_rail_transit
102,Grand Central Subsurface Concourse,Navi Mumbai,Maharashtra,27,21,101,50,Underground Parking,19.0216,73.0181,-15.0,15.0,CIDCO Urban Infrastructure Authority,Subsurface Title Active,180.0,Navi Mumbai (MMR / CIDCO Urban Infra),subterranean_multilevel_cavern,concrete_vault,street_plaza,multi_tier_parking
103,Palm Beach Residency Pinnacle,Navi Mumbai,Maharashtra,27,21,101,52,Apartment,19.0245,73.0115,0.0,85.0,Palm Beach Residents Welfare Association,Verified 3D Cadastre,320.0,Navi Mumbai (MMR / Palm Beach Corridor),coastal_residential_tower,emerald_terrace,sky_garden,basement_parking
104,Seawoods Urban Transit Terminal,Navi Mumbai,Maharashtra,27,21,101,51,Transit,19.018,73.019,0.0,35.0,Central Railway / CIDCO,Public Utility Asset,420.0,Navi Mumbai (MMR / Central Railway Node),transit_canopy_terminal,aerodynamic_mesh,tensile_canopy,underground_pedestrian_concourse
105,BKC Diamond Tower,Mumbai,Maharashtra,27,22,104,12,Commercial,19.0657,72.8688,0.0,160.0,MMRDA & Bharat Diamond Bourse,Verified 3D Cadastre,2400.0,Mumbai (MMR / MMRDA BKC Financial Dist),crystalline_diamond,diamond_crystal_blue,observation_crown,bkc_metro3_vault
106,BKC Metro-3 Underground Vault,Mumbai,Maharashtra,27,22,104,12,Subsurface Utility,19.0665,72.8695,-24.0,24.0,MMRCL Underground Metro Corridor,Critical Infrastructure,680.0,Mumbai (MMR / MMRCL Metro-3 Colaba-SEEPZ),subterranean_multilevel_cavern,subterranean_granite,surface_roadway,metro3_double_bore
107,Lodha World One (Worli Sea Face),Mumbai,Maharashtra,27,22,108,5,Apartment,19.0178,72.8172,0.0,240.0,Lodha Luxury Holdings & World One SPV,Verified 3D Cadastre,1850.0,Mumbai (MMR / BMC Worli Sea Face),supertall_tiered,champagne_gold_glass,illuminated_crown_spire,four_tier_valet_vault
201,Connaught Outer Circle Heritage Colonnade,New Delhi,Delhi,7,1,101,10,Commercial,28.6328,77.2197,0.0,75.0,New Delhi Municipal Council (NDMC),Heritage Buffer 3D,950.0,New Delhi (NCT / NDMC Connaught Place),circular_heritage_rotunda,terracotta_sandstone,rotunda_dome,subterranean_utility_link
202,Rajiv Chowk Subsurface Metro Terminal,New Delhi,Delhi,7,1,101,10,Subsurface Utility,28.6328,77.2197,-18.0,18.0,Delhi Metro Rail Corp (DMRC),Subsurface Multi-Level,780.0,New Delhi (NCT / DMRC Rajiv Chowk Hub),subterranean_multilevel_cavern,granite_concourse,central_park_rotunda,dual_level_metro_interchange
203,Aerocity Horizon Gateway,New Delhi,Delhi,7,2,105,18,Commercial,28.5524,77.1215,0.0,65.0,Delhi International Airport Ltd (DIAL),Verified 3D Cadastre,1400.0,New Delhi (NCT / DIAL Aerocity Gateway),aerocity_curvilinear_atrium,silver_metallic_louver,aviation_beacons,airport_express_link
